scenario_id,model,basis,outer_id,repeat,fold,feature,mean_abs_shap,rank
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,8,2,3,VS,7.003278511961799,4
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,8,2,3,Carbon,4.4920288755542455,5
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,8,2,3,Oxygen,4.305925895585413,6
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,8,2,3,Cellulose,3.4247569901500294,7
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,8,2,3,C/N,3.026457801949201,8
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,8,2,3,Hemicelluloses,3.018131626439864,9
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,8,2,3,Sulfur,1.39255762929142,10
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,8,2,3,Nitrogen,0.9323953177602937,11
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,8,2,3,DM,13.782073440199156,1
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,8,2,3,Hydrogen,8.848929013716443,2
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,8,2,3,VS,7.181118771011168,3
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,8,2,3,Lignin,6.441272433738411,4
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,8,2,3,Oxygen,6.0892170507714365,5
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,8,2,3,Carbon,5.455045193422109,6
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,8,2,3,Hemicelluloses,3.690070051615786,7
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,8,2,3,Sulfur,2.8678437888016033,8
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,8,2,3,Cellulose,1.8764719378684722,9
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,8,2,3,C/N,1.7972373639333543,10
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,8,2,3,Nitrogen,1.026338998155531,11
