comparison_method,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
direct_BMPDM_all_features,Ridge_alpha_1,30,6,5,25,0.4775375706337667,53.27351079508158,42.5906669290766,19.68335898810101,21.009864163470336,17.317679250737612,1.412007003273198,-3.8003307403736453,32.328549766557956
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_fixed_selected_params,30,6,5,25,0.6623477482289108,42.82709440034577,32.74124480000002,15.499547573614281,16.89003451130647,13.921851085037225,1.75642479100796,4.57311200000003,26.04671999999988
direct_BMPDM_all_features,RF_fixed_selected_params,30,6,5,25,0.5682958591101919,48.42580989322829,36.91261039999999,17.43199889182062,19.098040896465502,15.741831740992538,1.5533569907753753,3.638992800000015,21.94326000000001
two_stage_BMPVS_OOF_times_measured_VS_DM,GradientBoosting_fixed,30,6,5,25,0.6556682173652164,43.24862863617394,35.2157283950843,16.393118017959647,17.05627805153547,14.058879686687995,1.739305330682508,4.105027177939346,32.24532566474252
direct_BMPDM_all_features,GradientBoosting_fixed,30,6,5,25,0.6016073995712554,46.519969067408894,36.45248185750793,17.187021313664648,18.34642050820758,15.122297949584363,1.6169952783632688,1.1609250633004007,25.8507775725418
two_stage_BMPVS_OOF_times_measured_VS_DM,ExtraTrees_fixed,30,6,5,25,0.6115410660628678,45.93633502241918,36.72075359999999,17.785938823216355,18.116248480432333,14.932575383151297,1.6375396577653225,8.444915199999983,32.5324499999999
direct_BMPDM_all_features,ExtraTrees_fixed,30,6,5,25,0.5657680497653362,48.56737970183659,35.65402880000002,17.756716845159524,19.15387281751065,15.787851995720956,1.5488290863828695,7.931228000000073,22.356819999999686
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_nested_gridsearch,31,7,1,26,0.6559713827005852,38.04397432265592,33.61369633215043,14.947855184534061,15.05117926003138,16.479240371937937,1.7386789038679982,-1.6813327013626993,37.5534176611454
direct_BMPDM_all_features,RF_nested_gridsearch,31,7,1,26,0.6595762224866066,37.84413108969077,32.74911711113453,14.910820649694717,14.972116113322457,16.39267568642934,1.7478603331473175,-1.6944114045950749,32.04824278684406
two_stage_BMPVS_OOF_times_measured_VS_DM,Mean_baseline,31,7,1,26,0.39271462450247707,50.54579204243689,43.13221058644324,19.973578744948764,19.997221384358095,21.894564689611403,1.3086402032945303,-0.7778663366336164,35.55225742574257
