scenario_id,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
D2_BMP_DM_no_VS,LinearRegression,44,9,4,25.0,0.406200682040193,47.59372976716956,37.03302078029928,20.43087799062981,20.845098832437266,17.759715869489778,1.324477351452892,20.710227434505015,23.417018256184292
D2_BMP_DM_no_VS,LinearRegression,45,9,5,25.0,0.6218711627598834,49.85661938210727,41.86634016774636,18.69351813235356,20.846320747914042,13.098997772574647,1.6597569041274542,-13.516670546480452,38.40633105144951
D2_BMP_DM_no_VS,LinearRegression,46,10,1,26.0,0.46129239528692945,47.510193401725864,38.90714605400622,16.73210828844089,18.999339217786954,17.458382047713943,1.3894410207012429,-17.924613773897274,42.146747942116264
D2_BMP_DM_no_VS,LinearRegression,47,10,2,26.0,0.4096324510475886,47.29980733695658,37.96268357584304,17.85808778970413,18.71395142723558,20.781623933215844,1.3272582421870187,13.340372880674717,30.368389788291182
D2_BMP_DM_no_VS,LinearRegression,48,10,3,25.0,0.6567466634739214,43.484986565327596,34.893492360642256,18.610949080497367,17.487219693807514,11.424957191623955,1.7420354950439707,8.794294210049207,31.880006939829883
D2_BMP_DM_no_VS,LinearRegression,49,10,4,25.0,0.40614939187362753,51.17021067855641,38.77952476396089,16.93364560518971,19.661237420454892,18.726243962963547,1.3244201534556874,4.719683814162844,24.002345144820197
D2_BMP_DM_no_VS,LinearRegression,50,10,5,25.0,0.4323547558357853,52.03296746002739,42.31763777187884,19.81212282407714,20.58139112460916,18.94105327801223,1.3546461956565943,-12.97984761827484,36.05043880466013
D2_BMP_DM_no_VS,Mean_baseline,1,1,1,26.0,-0.0063433909736314575,81.63403692179847,63.716137090632145,57.3118669045453,32.95240691623151,23.688887092849715,1.0165847026957113,6.481252094440202,53.255094059405934
D2_BMP_DM_no_VS,Mean_baseline,2,1,2,26.0,-0.019208539458886564,57.48931130129322,45.956955064737244,19.280550314040244,22.18259258143896,26.67667945898602,1.0101483127518196,-7.892284843868972,33.28750000000001
D2_BMP_DM_no_VS,Mean_baseline,3,1,3,25.0,-0.07622539884462709,62.01602134610255,51.28657411764706,25.537303279831864,25.87969540711621,26.863043119684033,0.9838134710097773,16.504490980392166,46.11845098039217
D2_BMP_DM_no_VS,Mean_baseline,4,1,4,25.0,-0.03776982625173542,75.74693437731102,60.467941960784316,24.56280373573033,28.638479657996598,28.10354930742298,1.001875747875811,-14.450638431372568,50.62107843137255
D2_BMP_DM_no_VS,Mean_baseline,5,1,5,25.0,-0.00010851606958639515,57.67419115282511,45.17586509803921,21.297485576082494,22.762829872397347,24.968911765674296,1.02056535379134,-0.6007654901960506,31.34572549019606
